date,unit_code,channel
20220721,101,22
20220721,102,24
20220721,105,28
20220721,106,30
20220721,112,40
20220721,113,42
20220721,115,44
20220721,116,45
20220721,11,56
20220721,121,53
20220721,122,58
20220721,128,63
20220721,14,108
20220721,150,109
20220721,152,113
20220721,153,114
20220721,154,116
20220721,18,118
20220721,19,121
20220721,21,124
20220721,22,124
20220721,23,123
20220721,24,128
20220721,25,128
20220721,27,129
20220721,31,132
20220721,32,136
20220721,34,136
20220721,44,200
20220721,50,227
20220721,92,44
20220721,97,117
20220722,0,22
20220722,100,26
20220722,102,28
20220722,103,32
20220722,107,40
20220722,108,42
20220722,109,44
20220722,10,45
20220722,112,56
20220722,113,58
20220722,19,65
20220722,36,109
20220722,38,113
20220722,39,114
20220722,3,116
20220722,40,117
20220722,41,118
20220722,42,121
20220722,43,120
20220722,44,125
20220722,45,124
20220722,46,124
20220722,51,131
20220722,54,136
20220722,67,259
20220722,70,261
20220722,95,106
