date,unit_code,channel
20220214,136,19
20220214,140,23
20220214,147,36
20220214,152,44
20220214,153,47
20220214,154,47
20220214,15,63
20220214,162,64
20220214,164,70
20220214,170,79
20220214,171,83
20220214,173,87
20220214,174,88
20220214,177,99
20220214,178,96
20220214,181,99
20220214,182,101
20220214,183,102
20220214,185,105
20220214,188,107
20220214,191,117
20220214,194,123
20220214,195,128
20220214,196,128
20220214,197,131
20220214,19,135
20220214,1,139
20220214,202,142
20220214,209,151
20220214,210,156
20220214,234,164
20220214,238,175
20220214,23,184
20220214,257,192
20220214,261,208
20220214,268,236
20220214,26,239
20220214,271,249
20220214,272,251
20220214,279,263
20220214,282,275
20220214,305,323
20220214,328,33
20220214,330,39
20220214,331,44
20220214,335,67
20220214,35,79
20220214,3,100
20220214,41,104
20220214,43,123
20220214,46,134
20220214,47,135
20220214,53,149
20220214,57,155
20220214,67,229
20220214,68,283
20220214,69,281
20220214,6,287
20220214,72,299
20220214,78,48
20220214,8,147
20220215,116,32
20220215,118,36
20220215,11,39
20220215,121,40
20220215,123,44
20220215,125,47
20220215,128,63
20220215,130,68
20220215,134,79
20220215,136,87
20220215,13,99
20220215,140,96
20220215,143,100
20220215,144,104
20220215,145,103
20220215,147,115
20220215,149,120
20220215,150,128
20220215,151,128
20220215,154,134
20220215,155,135
20220215,157,136
20220215,15,143
20220215,160,147
20220215,162,151
20220215,178,164
20220215,183,184
20220215,202,221
20220215,214,261
20220215,21,272
20220215,221,276
20220215,223,281
20220215,28,299
20220215,50,28
20220215,53,44
20220215,55,48
20220215,56,63
20220215,57,66
20220215,5,83
20220215,61,87
20220215,64,101
20220215,70,120
20220215,71,123
20220215,75,140
20220215,79,155
20220215,8,281
20220215,97,87
20220215,98,102
