date,unit_code,channel
20220312,100,4
20220312,103,7
20220312,104,6
20220312,105,8
20220312,109,18
20220312,114,24
20220312,115,25
20220312,120,50
20220312,121,57
20220312,122,58
20220312,125,64
20220312,128,67
20220312,132,74
20220312,136,77
20220312,140,87
20220312,142,87
20220312,143,89
20220312,147,92
20220312,14,99
20220312,152,115
20220312,161,129
20220312,162,131
20220312,171,147
20220312,174,157
20220312,189,208
20220312,190,214
20220312,191,214
20220312,192,215
20220312,194,219
20220312,195,220
20220312,198,222
20220312,199,229
20220312,1,235
20220312,202,237
20220312,207,241
20220312,25,248
20220312,32,255
20220312,41,302
20220312,43,304
20220312,47,316
20220312,48,318
20220312,56,342
20220312,57,347
20220312,5,357
20220312,60,360
20220312,61,363
20220312,6,64
20220312,72,87
20220312,76,104
20220312,80,159
20220312,82,208
20220312,8,236
20220312,90,312
20220312,95,91
20220313,0,2
20220313,100,5
20220313,10,23
20220313,113,50
20220313,115,382
20220313,117,57
20220313,118,62
20220313,124,78
20220313,12,85
20220313,131,86
20220313,133,87
20220313,135,91
20220313,139,92
20220313,144,112
20220313,145,115
20220313,149,121
20220313,155,129
20220313,165,167
20220313,18,184
20220313,23,212
20220313,26,215
20220313,33,244
20220313,34,246
20220313,3,281
20220313,43,301
20220313,45,303
20220313,47,312
20220313,58,355
20220313,59,360
20220313,63,374
20220313,65,378
20220313,69,16
20220313,71,75
20220313,75,90
20220313,76,104
20220313,79,126
20220313,81,176
20220313,89,302
20220313,8,314
20220313,96,368
20220313,97,68
20220313,99,314
