date,unit_code,channel
20210928,101,0
20210928,106,4
20210928,107,3
20210928,10,5
20210928,112,7
20210928,113,7
20210928,119,31
20210928,122,31
20210928,124,35
20210928,12,41
20210928,135,45
20210928,138,49
20210928,144,79
20210928,146,81
20210928,153,84
20210928,156,90
20210928,158,93
20210928,15,93
20210928,161,145
20210928,167,102
20210928,169,104
20210928,171,108
20210928,173,109
20210928,174,110
20210928,176,112
20210928,179,115
20210928,180,115
20210928,182,118
20210928,183,117
20210928,188,119
20210928,191,121
20210928,192,119
20210928,196,125
20210928,198,125
20210928,205,131
20210928,212,134
20210928,222,141
20210928,226,144
20210928,228,147
20210928,229,148
20210928,22,149
20210928,234,153
20210928,240,161
20210928,249,165
20210928,252,169
20210928,257,171
20210928,260,173
20210928,263,176
20210928,269,179
20210928,270,184
20210928,273,183
20210928,274,185
20210928,278,189
20210928,279,188
20210928,27,190
20210928,287,197
20210928,288,197
20210928,289,196
20210928,28,198
20210928,290,197
20210928,294,198
20210928,298,199
20210928,29,202
20210928,301,201
20210928,303,203
20210928,305,203
20210928,30,206
20210928,311,207
20210928,312,207
20210928,313,209
20210928,316,210
20210928,321,214
20210928,324,214
20210928,325,214
20210928,327,217
20210928,334,228
20210928,336,226
20210928,339,231
20210928,341,234
20210928,342,233
20210928,343,233
20210928,345,233
20210928,346,235
20210928,347,236
20210928,348,235
20210928,349,238
20210928,350,239
20210928,351,240
20210928,353,188
20210928,355,244
20210928,357,243
20210928,359,245
20210928,35,245
20210928,361,244
20210928,362,249
20210928,372,253
20210928,373,253
20210928,376,255
20210928,377,255
20210928,380,259
20210928,401,280
20210928,405,282
20210928,408,286
20210928,40,239
20210928,410,289
20210928,417,292
20210928,419,295
20210928,41,296
20210928,421,297
20210928,424,300
20210928,425,300
20210928,430,304
20210928,432,303
20210928,434,305
20210928,436,306
20210928,437,308
20210928,438,307
20210928,440,311
20210928,441,310
20210928,442,310
20210928,445,313
20210928,448,318
20210928,44,317
20210928,453,321
20210928,455,322
20210928,457,321
20210928,459,323
20210928,461,322
20210928,463,325
20210928,464,326
20210928,465,326
20210928,467,327
20210928,468,327
20210928,471,329
20210928,472,331
20210928,475,330
20210928,477,334
20210928,478,333
20210928,485,337
20210928,488,338
20210928,48,340
20210928,504,352
20210928,506,356
20210928,50,359
20210928,510,361
20210928,511,359
20210928,513,362
20210928,514,360
20210928,515,361
20210928,516,364
20210928,518,365
20210928,519,366
20210928,521,367
20210928,523,366
20210928,525,366
20210928,526,365
20210928,527,369
20210928,531,373
20210928,532,370
20210928,534,373
20210928,536,376
20210928,537,375
20210928,540,377
20210928,541,380
20210928,542,378
20210928,544,378
20210928,548,376
20210928,549,379
20210928,550,382
20210928,555,0
20210928,556,334
20210928,558,3
20210928,559,5
20210928,560,5
20210928,562,9
20210928,567,40
20210928,568,47
20210928,56,49
20210928,575,99
20210928,576,103
20210928,577,105
20210928,578,111
20210928,581,116
20210928,583,119
20210928,585,118
20210928,588,128
20210928,589,130
20210928,58,130
20210928,591,137
20210928,5,161
20210928,602,168
20210928,604,180
20210928,605,181
20210928,609,189
20210928,610,188
20210928,611,194
20210928,613,197
20210928,617,202
20210928,618,203
20210928,61,207
20210928,621,210
20210928,622,213
20210928,627,215
20210928,628,215
20210928,62,225
20210928,630,228
20210928,640,242
20210928,642,245
20210928,643,245
20210928,644,243
20210928,646,249
20210928,647,249
20210928,648,251
20210928,649,251
20210928,64,251
20210928,650,253
20210928,65,273
20210928,664,279
20210928,667,285
20210928,668,285
20210928,672,295
20210928,673,303
20210928,676,304
20210928,678,310
20210928,67,318
20210928,680,318
20210928,682,321
20210928,685,325
20210928,686,325
20210928,689,329
20210928,68,331
20210928,691,334
20210928,695,336
20210928,698,338
20210928,699,339
20210928,69,342
20210928,6,345
20210928,700,349
20210928,701,354
20210928,702,356
20210928,703,356
20210928,706,359
20210928,708,362
20210928,709,363
20210928,711,366
20210928,712,367
20210928,713,369
20210928,714,369
20210928,715,372
20210928,716,372
20210928,718,375
20210928,720,379
20210928,721,381
20210928,722,334
20210928,724,0
20210928,725,7
20210928,734,176
20210928,738,209
20210928,73,206
20210928,740,210
20210928,741,210
20210928,88,337
20210928,91,373
20210928,92,378
20210928,93,379
20210928,95,49
20210928,98,366
20210928,99,366
20210929,102,1
20210929,103,1
20210929,104,3
20210929,11,31
20210929,129,45
20210929,132,97
20210929,141,57
20210929,149,78
20210929,159,88
20210929,164,91
20210929,170,92
20210929,171,93
20210929,187,105
20210929,188,105
20210929,18,106
20210929,192,107
20210929,196,111
20210929,198,113
20210929,199,111
20210929,201,118
20210929,204,119
20210929,216,126
20210929,217,126
20210929,223,128
20210929,229,133
20210929,241,142
20210929,246,193
20210929,249,145
20210929,25,153
20210929,261,155
20210929,263,157
20210929,273,164
20210929,275,165
20210929,279,167
20210929,27,169
20210929,280,170
20210929,284,172
20210929,285,173
20210929,289,176
20210929,28,180
20210929,292,177
20210929,294,181
20210929,2,184
20210929,301,185
20210929,304,186
20210929,307,240
20210929,308,190
20210929,311,142
20210929,316,195
20210929,318,199
20210929,319,199
20210929,31,197
20210929,321,200
20210929,323,202
20210929,325,201
20210929,329,202
20210929,336,207
20210929,33,208
20210929,343,209
20210929,344,210
20210929,348,212
20210929,34,213
20210929,351,215
20210929,35,228
20210929,360,227
20210929,361,231
20210929,365,234
20210929,367,235
20210929,368,234
20210929,371,238
20210929,381,246
20210929,386,247
20210929,389,249
20210929,391,250
20210929,394,251
20210929,402,255
20210929,405,255
20210929,415,273
20210929,426,281
20210929,428,283
20210929,437,291
20210929,43,292
20210929,440,293
20210929,443,298
20210929,448,301
20210929,449,301
20210929,450,303
20210929,452,304
20210929,456,307
20210929,457,310
20210929,458,309
20210929,461,313
20210929,462,316
20210929,463,316
20210929,466,318
20210929,468,319
20210929,469,319
20210929,473,318
20210929,474,323
20210929,477,325
20210929,478,325
20210929,479,323
20210929,481,325
20210929,487,329
20210929,489,327
20210929,48,328
20210929,492,332
20210929,493,331
20210929,497,333
20210929,501,338
20210929,507,340
20210929,509,343
20210929,51,357
20210929,521,354
20210929,522,358
20210929,524,355
20210929,526,361
20210929,531,364
20210929,533,361
20210929,534,365
20210929,536,365
20210929,538,364
20210929,539,369
20210929,540,370
20210929,547,374
20210929,548,373
20210929,550,375
