date,unit_code,channel
20191121,0,1
20191121,101,4
20191121,104,5
20191121,105,6
20191121,106,8
20191121,107,8
20191121,108,9
20191121,10,15
20191121,110,13
20191121,113,19
20191121,116,13
20191121,118,19
20191121,119,20
20191121,125,27
20191121,126,29
20191121,127,28
20191121,129,30
20191121,12,28
20191121,130,29
20191121,131,30
20191121,133,32
20191121,134,33
20191121,136,39
20191121,140,41
20191121,142,40
20191121,143,42
20191121,144,42
20191121,149,96
20191121,152,50
20191121,153,54
20191121,154,53
20191121,15,60
20191121,164,67
20191121,167,69
20191121,168,71
20191121,169,71
20191121,16,69
20191121,172,75
20191121,173,77
20191121,177,81
20191121,179,84
20191121,182,92
20191121,188,101
20191121,189,104
20191121,191,103
20191121,196,109
20191121,197,110
20191121,199,111
20191121,19,115
20191121,200,116
20191121,203,119
20191121,204,118
20191121,205,118
20191121,206,122
20191121,208,125
20191121,209,124
20191121,20,125
20191121,215,129
20191121,216,130
20191121,218,131
20191121,220,132
20191121,223,133
20191121,227,137
20191121,230,144
20191121,232,147
20191121,235,149
20191121,239,153
20191121,242,157
20191121,246,158
20191121,247,163
20191121,250,162
20191121,253,169
20191121,255,174
20191121,257,174
20191121,258,179
20191121,25,178
20191121,260,179
20191121,266,201
20191121,26,210
20191121,272,218
20191121,275,223
20191121,277,223
20191121,278,224
20191121,279,224
20191121,27,226
20191121,280,225
20191121,281,228
20191121,283,229
20191121,284,229
20191121,286,231
20191121,287,233
20191121,289,233
20191121,290,235
20191121,300,256
20191121,303,258
20191121,305,260
20191121,306,260
20191121,307,261
20191121,309,264
20191121,30,266
20191121,310,268
20191121,311,268
20191121,313,269
20191121,314,271
20191121,317,274
20191121,31,278
20191121,321,279
20191121,322,280
20191121,323,282
20191121,325,283
20191121,326,284
20191121,327,284
20191121,328,283
20191121,329,286
20191121,32,286
20191121,330,287
20191121,335,293
20191121,336,294
20191121,340,295
20191121,341,296
20191121,344,299
20191121,346,296
20191121,348,299
20191121,350,301
20191121,355,305
20191121,356,305
20191121,358,306
20191121,359,306
20191121,35,307
20191121,361,307
20191121,362,308
20191121,363,308
20191121,365,310
20191121,366,313
20191121,367,313
20191121,36,314
20191121,370,315
20191121,371,315
20191121,373,317
20191121,374,321
20191121,375,319
20191121,379,321
20191121,380,325
20191121,386,329
20191121,389,333
20191121,390,333
20191121,392,338
20191121,394,339
20191121,396,342
20191121,39,344
20191121,400,345
20191121,401,346
20191121,402,345
20191121,406,351
20191121,407,353
20191121,408,352
20191121,409,356
20191121,40,355
20191121,411,358
20191121,413,362
20191121,415,361
20191121,416,363
20191121,417,363
20191121,420,364
20191121,421,362
20191121,425,365
20191121,426,363
20191121,427,365
20191121,428,365
20191121,432,374
20191121,434,376
20191121,435,375
20191121,436,377
20191121,437,376
20191121,441,379
20191121,442,378
20191121,445,380
20191121,447,383
20191121,449,9
20191121,44,17
20191121,451,15
20191121,453,23
20191121,454,23
20191121,455,22
20191121,456,26
20191121,457,27
20191121,45,29
20191121,461,37
20191121,463,40
20191121,466,45
20191121,467,50
20191121,468,56
20191121,469,61
20191121,46,64
20191121,470,63
20191121,472,103
20191121,474,105
20191121,476,110
20191121,477,113
20191121,479,114
20191121,47,119
20191121,482,125
20191121,483,129
20191121,485,133
20191121,486,132
20191121,487,135
20191121,488,144
20191121,489,144
20191121,490,145
20191121,493,149
20191121,494,149
20191121,495,149
20191121,496,153
20191121,498,155
20191121,499,157
20191121,49,158
20191121,500,162
20191121,501,165
20191121,504,169
20191121,505,174
20191121,507,173
20191121,508,173
20191121,50,177
20191121,510,178
20191121,515,236
20191121,518,242
20191121,519,254
20191121,51,260
20191121,524,284
20191121,527,287
20191121,528,337
20191121,529,293
20191121,531,293
20191121,534,303
20191121,538,310
20191121,539,314
20191121,540,321
20191121,541,322
20191121,542,329
20191121,543,333
20191121,544,337
20191121,547,350
20191121,549,357
20191121,550,358
20191121,554,363
20191121,557,371
20191121,558,372
20191121,560,375
20191121,561,376
20191121,562,378
20191121,563,378
20191121,564,379
20191121,56,381
20191121,57,381
20191121,5,33
20191121,63,125
20191121,65,132
20191121,68,169
20191121,69,179
20191121,6,179
20191121,74,291
20191121,76,307
20191121,77,306
20191121,79,316
20191121,80,323
20191121,86,365
20191121,87,374
20191121,88,374
20191121,92,378
20191121,93,379
20191121,94,160
20191121,95,310
20191121,96,333
20191121,98,375
20191121,99,375
20191122,100,4
20191122,103,7
20191122,104,8
20191122,109,11
20191122,10,14
20191122,113,13
20191122,118,19
20191122,11,19
20191122,123,22
20191122,124,24
20191122,125,25
20191122,129,29
20191122,12,27
20191122,131,31
20191122,133,33
20191122,134,32
20191122,137,36
20191122,139,39
20191122,141,40
20191122,142,42
20191122,148,50
20191122,149,55
20191122,150,54
20191122,151,56
20191122,153,60
20191122,154,61
20191122,158,65
20191122,159,67
20191122,161,69
20191122,163,71
20191122,164,71
20191122,167,75
20191122,172,81
20191122,175,84
20191122,179,92
20191122,17,95
20191122,180,144
20191122,182,96
20191122,186,103
20191122,188,105
20191122,18,104
20191122,190,107
20191122,192,107
20191122,195,109
20191122,196,109
20191122,197,113
20191122,198,111
20191122,199,112
20191122,1,115
20191122,202,118
20191122,205,119
20191122,206,119
20191122,20,125
20191122,217,131
20191122,218,133
20191122,224,137
20191122,229,145
20191122,231,147
20191122,235,149
20191122,239,157
20191122,23,157
20191122,240,158
20191122,241,160
20191122,245,161
20191122,249,167
20191122,24,168
20191122,250,169
20191122,252,172
20191122,253,171
20191122,254,172
20191122,258,175
20191122,260,177
20191122,261,181
20191122,263,180
20191122,269,201
20191122,273,212
20191122,27,220
20191122,284,225
20191122,286,227
20191122,288,227
20191122,289,228
20191122,290,229
20191122,291,232
20191122,292,231
20191122,294,235
20191122,296,232
20191122,297,236
20191122,302,244
20191122,308,252
20191122,309,258
20191122,312,257
20191122,313,258
20191122,314,260
20191122,316,261
20191122,319,266
20191122,31,266
20191122,321,268
20191122,322,269
20191122,325,274
20191122,328,278
20191122,329,279
20191122,32,280
20191122,330,282
20191122,333,283
20191122,334,286
20191122,336,289
20191122,338,292
20191122,33,295
20191122,340,293
20191122,341,293
20191122,343,296
20191122,344,296
20191122,348,298
20191122,349,300
20191122,350,299
20191122,353,301
20191122,355,300
20191122,357,303
20191122,360,306
20191122,361,305
20191122,362,307
20191122,364,310
20191122,365,309
20191122,367,307
20191122,369,311
20191122,36,313
20191122,371,314
20191122,372,314
20191122,373,315
20191122,374,317
20191122,375,318
20191122,377,317
20191122,378,321
20191122,382,323
20191122,384,323
20191122,385,325
20191122,386,324
20191122,388,328
20191122,389,329
20191122,396,333
20191122,397,286
20191122,398,336
20191122,3,338
20191122,408,345
20191122,409,347
20191122,40,346
20191122,410,346
20191122,414,351
20191122,415,350
20191122,416,353
20191122,418,354
20191122,41,356
20191122,420,357
20191122,422,357
20191122,423,358
20191122,425,360
20191122,429,361
20191122,432,364
20191122,434,365
20191122,435,365
20191122,437,365
20191122,438,366
20191122,439,371
20191122,444,374
20191122,447,376
20191122,449,377
20191122,453,379
20191122,454,380
20191122,458,383
20191122,461,8
20191122,462,11
20191122,464,14
20191122,465,15
20191122,466,19
20191122,467,19
20191122,468,19
20191122,46,28
20191122,471,33
20191122,472,32
20191122,473,38
20191122,475,40
20191122,476,44
20191122,478,50
20191122,481,65
20191122,482,69
20191122,483,75
20191122,488,92
20191122,48,92
20191122,491,46
20191122,492,100
20191122,493,100
20191122,494,101
20191122,495,105
20191122,496,110
20191122,499,115
20191122,500,119
20191122,502,120
20191122,503,122
20191122,504,122
20191122,505,125
20191122,509,133
20191122,50,135
20191122,510,133
20191122,512,157
20191122,513,157
20191122,516,158
20191122,518,159
20191122,519,162
20191122,520,163
20191122,521,165
20191122,523,169
20191122,524,174
20191122,526,175
20191122,527,177
20191122,530,199
20191122,534,228
20191122,536,231
20191122,538,235
20191122,53,232
20191122,540,236
20191122,544,254
20191122,546,252
20191122,547,262
20191122,54,263
20191122,551,284
20191122,552,285
20191122,555,295
20191122,556,297
20191122,558,301
20191122,55,305
20191122,561,310
20191122,562,313
20191122,565,317
20191122,56,329
20191122,572,337
20191122,574,342
20191122,585,357
20191122,587,358
20191122,60,369
20191122,61,374
20191122,62,374
20191122,64,376
20191122,65,377
20191122,67,376
20191122,68,380
20191122,69,379
20191122,6,381
20191122,70,33
20191122,73,38
20191122,76,46
20191122,77,110
20191122,79,135
20191122,80,162
20191122,81,169
20191122,82,181
20191122,90,317
20191122,91,351
20191122,94,374
20191122,99,314
